Mystic_id,Forgotten Metropolis,Enchanted Town of the West,Cryptic City by the Sea,Mysterious Capital of the North,Bizarre Borough of the South,Arcane Village in the Mountains,Whimsical Hamlet of the Forest,Surreal Settlement by the River,Illusory Isle in the Sky,Dreamlike Downtown of the Desert,Hypnotic Heights of the Highlands,Illogical Level of Livability
311,7.7,0.66,0.08,3.4,0.075,19,77,0.9964,3.68,0.48,9.3,5
312,6.7,0.64,0.26,1.9,0.074,27,63,0.99578,3.37,0.73,9.6,5
313,6.6,0.34,0.25,1.7,0.06,14,86,0.9958,3.38,0.56,10.9,5
314,8.8,0.21,0.32,2.6,0.065,23,53,0.9961,3.26,0.87,11.2,7
315,7.2,0.935,0.06,1.7,0.086,9,27,0.9962,3.52,0.79,9.3,6
316,7.6,0.5,0.34,2.4,0.082,25,105,0.9969,3.25,0.52,9.4,5
317,6.9,0.75,0.15,2.3,0.079,26,45,0.9948,3.43,0.7,11.6,7
318,8.1,0.65,0.2,2.1,0.093,16,35,0.99458,3.35,0.56,12,7
319,6.5,0.41,0.2,3.2,0.081,14,26,0.9952,3.44,0.64,10.5,6
320,12.8,0.56,0.49,2.6,0.082,5,14,0.9986,3.08,0.6,9.8,6
321,8.1,0.39,0.42,2.1,0.079,27,60,0.99608,3.3,0.85,12.1,7
322,7.4,0.36,0.3,1.8,0.076,26,65,0.99489,3.47,0.63,10,5
323,9.3,0.31,0.5,6.6,0.078,11,18,0.99746,3.36,0.85,12.8,7
324,6.7,0.62,0.01,2.1,0.074,34,45,0.99538,3.46,0.7,11.9,6
325,8.2,0.66,0.29,2.1,0.085,21,57,0.9987,3.41,0.55,9.4,5
326,11.9,0.36,0.59,2.6,0.108,5,10,1.00015,3.2,0.78,10.8,7
327,7.8,0.58,0.01,2.4,0.065,3,12,0.99444,3.34,0.52,12.3,6
328,7.2,0.45,0.21,2,0.086,33,55,0.9962,3.37,0.55,9.4,5
329,8.9,0.48,0.53,4.3,0.071,7,20,1.00012,3.31,0.68,12.2,7
330,6.7,0.88,0.04,2.1,0.061,4,10,0.9959,3.4,0.56,9.8,5
331,8.8,0.34,0.28,2.8,0.082,12,69,0.9976,3.3,0.48,9.5,5
332,6.4,0.66,0,3.7,0.086,5,12,0.99738,3.53,0.58,9.8,7
333,8.1,0.765,0.22,2.2,0.071,21,77,0.9973,3.37,0.54,9.4,5
334,6.6,0.63,0.01,2.1,0.084,38,46,0.9959,3.46,0.63,10.9,6
335,10.4,0.41,0.49,2.3,0.414,6,21,0.99702,3.34,0.86,9.9,6
336,7.9,0.36,0.33,2.4,0.065,23,44,0.995,3.35,0.84,11.7,8
337,5.9,0.66,0,1.4,0.046,21,59,0.9916,3.68,0.66,12.8,6
338,7.9,0.39,0.13,2,0.058,15,24,0.99499,3.19,0.49,10.1,6
339,5,0.5,0,1.8,0.048,15,33,0.99292,3.78,0.79,12.3,8
340,8.1,0.58,0.22,2.9,0.071,11,119,0.99659,3.22,0.52,9.3,5
341,7.7,0.84,0.03,2.6,0.077,31,54,0.9964,3.53,0.47,10.5,5
342,8,0.46,0.65,2.6,0.106,10,17,0.99728,3.4,0.58,9.4,6
343,8.8,0.31,0.6,1.7,0.079,23,81,0.99716,3.31,0.75,9.5,7
344,7.2,0.52,0.03,2.5,0.08,31,134,0.99568,3.36,0.53,9.7,6
345,7.6,0.58,0.01,2.2,0.074,32,52,0.99538,3.42,0.54,11.8,6
346,8.6,0.75,0.24,2.6,0.1,10,25,0.9983,3.16,0.6,9.7,6
347,9.6,0.62,0.49,1.4,0.097,5,62,0.9976,3.2,0.61,9.4,5
348,8.7,0.6,0.26,3.3,0.083,28,129,0.99622,3.28,0.56,9.8,6
349,7.8,0.735,0.02,4,0.064,4,12,0.99732,3.47,0.67,9.8,5
350,5.2,0.695,0,1.8,0.041,6,12,0.99191,3.56,0.62,11.8,5
351,7.9,0.53,0.26,2.1,0.062,15,74,0.9964,3.21,0.74,9.6,6
352,7.2,0.78,0.03,2.3,0.059,12,18,0.99774,3.51,0.71,10.5,7
353,8.2,0.61,0.24,2,0.087,20,110,0.9972,3.26,0.61,9.4,6
354,7.9,1.33,0,1.65,0.094,7,12,0.99538,3.36,0.48,11.8,7
355,7.3,0.59,0.18,2,0.074,12,93,0.9961,3.29,0.59,9.7,5
356,10.1,0.69,0.24,2.2,0.039,6,28,1.0004,3.22,0.49,10.3,7
357,7.6,0.51,0.14,2.1,0.077,26,58,0.9991,3.44,0.58,10.5,6
358,8.3,0.64,0.26,1.9,0.089,19,122,0.99668,3.14,0.54,9.5,5
359,7.3,0.875,0.12,2,0.076,35,67,0.9968,3.26,0.52,9.4,5
360,9.9,0.67,0.39,2,0.075,32,119,0.9988,3.24,0.55,9.4,5
361,8.6,0.46,0.24,2.1,0.079,14,28,0.99494,3.14,0.56,10.5,5
362,7.5,0.58,0.2,1.9,0.073,34,151,0.9958,3.41,0.52,9.3,5
363,7.7,0.6,0.01,2.1,0.062,12,89,0.99718,3.4,0.44,10.6,5
364,7,0.655,0.03,2.7,0.086,27,66,0.99627,3.35,0.6,10.8,6
365,7.8,0.54,0.31,2.5,0.076,22,71,0.9984,3.26,0.74,9.3,5
366,9.9,0.58,0.2,2.5,0.077,29,54,0.99692,3.26,0.59,10.1,6
367,6.5,0.32,0.09,2.2,0.073,4,11,0.99444,3.33,0.78,10.6,6
368,9.6,0.27,0.35,1.7,0.066,10,21,0.99478,3.2,0.66,13.1,6
369,5,0.5,0,1.7,0.066,19,48,0.99294,3.78,0.66,12.1,6
370,8,0.48,0.28,1.7,0.077,19,64,0.9947,3.26,0.58,9.7,5
371,8.8,0.3,0.55,2.7,0.05,12,23,0.9952,3.32,0.64,12.5,6
372,8.1,0.885,0.03,3,0.081,7,17,0.99672,3.43,0.53,11,5
373,7.2,0.59,0.18,2.8,0.082,22,74,0.9976,3.54,0.66,9.4,6
374,7.7,0.88,0.21,2.5,0.078,22,84,0.9961,3.18,0.52,9.7,5
375,7.8,0.52,0.49,2.3,0.11,21,75,0.99656,3.26,0.68,9.7,7
376,7.3,0.58,0.01,2.2,0.077,35,70,0.99609,3.32,0.55,9.4,5
377,8.3,0.59,0.23,2.9,0.087,26,61,0.9986,3.32,0.71,9.3,5
378,7.1,0.62,0.2,1.9,0.082,41,55,0.99613,3.29,0.58,9.3,5
379,8,0.69,0.32,2.8,0.088,16,86,0.99732,3.3,0.62,11,5
380,6.7,0.64,0.21,3,0.079,5,14,0.99608,3.56,0.48,11.3,6
381,8.4,0.63,0.15,2.9,0.101,20,94,0.998,3.19,0.55,9.5,5
382,8.7,0.21,0.36,1.5,0.074,11,18,0.99546,3.3,0.57,10.1,7
383,6.3,0.61,0.13,2.2,0.08,27,60,0.99636,3.51,0.69,12.5,6
384,7.4,0.52,0.05,1.6,0.061,9,23,0.9955,3.37,0.65,10.1,6
385,7.5,0.645,0.2,2.1,0.084,20,84,0.99688,3.36,1.1,10.2,6
386,7.8,0.48,0.31,3.2,0.069,6,12,0.99379,3.22,0.44,11,7
387,8.7,0.6,0.09,1.9,0.106,20,49,0.99616,3.6,0.52,10,5
388,9.4,0.53,0.24,1.9,0.119,20,119,0.9976,3.18,0.57,9.4,5
389,9.4,0.46,0.43,5.5,0.107,10,44,0.9978,3.28,0.8,11,6
390,9.1,0.35,0.52,2.2,0.07,23,44,0.99538,3.34,0.85,12.6,7
391,11.8,0.315,0.52,2.8,0.083,8,38,0.9982,3.2,0.77,10.3,6
392,11.5,0.46,0.53,2,0.093,6,14,0.99642,3.23,0.71,11.1,6
393,10.7,0.37,0.41,3.3,0.098,6,13,0.9998,3.17,0.77,12.4,7
394,9.3,0.65,0.21,3.4,0.087,6,24,0.9976,3.09,0.66,9.7,6
395,7.7,0.59,0.28,2.7,0.082,26,106,0.9963,3.22,0.48,9.5,6
396,11.5,0.36,0.53,2.7,0.095,18,34,0.99546,3.16,0.82,13.4,7
397,8.8,0.825,0.04,2.5,0.078,10,91,0.998,3.33,0.48,9.9,5
398,9.1,0.655,0.49,2.7,0.086,11,41,1,3.17,0.52,9.8,5
399,8.8,0.48,0.31,6,0.07,30,119,0.99688,3.31,0.65,9,4
400,10.7,0.37,0.48,2,0.066,16,35,0.99562,3.17,0.63,11,5
401,8.9,0.54,0.45,6.3,0.078,3,10,0.9976,3.21,0.6,9.8,5
402,6.6,0.855,0.02,2.2,0.078,12,49,0.99631,3.52,0.63,10.6,6
403,6.9,0.53,0.04,1.9,0.123,6,14,0.99426,3.37,0.64,10.5,6
404,7.5,0.28,0.34,2.1,0.082,28,133,0.9956,3.36,0.55,10.3,6
405,7,0.47,0.08,2.1,0.064,25,55,0.9962,3.34,0.48,10.4,5
406,6.7,0.58,0.1,2.3,0.11,24,58,0.99064,3.51,0.71,11.4,6
407,9.9,0.39,0.12,2.8,0.095,17,40,0.9994,3.38,0.75,10,6
408,7.9,0.54,0.13,5.15,0.084,27,61,0.99588,3.21,0.59,9.3,4
409,7.6,0.45,0.31,2.7,0.078,23,54,0.9982,3.41,0.62,9,4
410,7.1,0.47,0.28,2.1,0.082,23,145,0.9964,3.45,0.48,9.5,5
411,9.9,0.5,0.49,1.6,0.094,16,42,0.9971,3.24,0.57,9.5,5
412,11.4,0.39,0.24,4.3,0.075,6,42,0.9978,3.16,0.51,11.4,7
413,8.4,0.31,0.39,1.6,0.082,51,70,0.99647,3.31,0.77,10.5,6
414,7.9,0.54,0.26,2,0.077,23,143,0.9974,3.26,0.62,9.4,5
415,8.8,0.5,0.57,2.7,0.205,12,81,0.9965,3.29,0.93,11.7,7
416,10.2,0.28,0.36,2.6,0.104,6,13,0.99708,3.27,0.64,10.03333333,6
417,8.7,0.5,0.49,2.6,0.111,11,24,0.9955,3.14,0.55,11.8,6
418,7.3,0.69,0.12,1.8,0.057,19,25,0.99575,3.33,0.65,10,5
419,9.8,0.53,0.45,2.3,0.118,22,84,0.9978,3.15,0.86,9.4,7
420,7.3,0.37,0.32,2.8,0.076,29,70,0.99689,3.37,0.56,10.1,5
421,9.1,0.54,0.27,2.5,0.097,31,141,0.99914,3.28,0.62,10.5,5
422,7.6,0.68,0.21,2.1,0.069,9,68,0.99478,3.2,0.52,9.7,6
423,6.8,0.63,0.1,1.8,0.121,17,38,0.99619,3.53,0.52,10.3,3
424,8.2,0.28,0.34,1.8,0.053,6,15,0.9936,3.22,0.48,11.5,5
425,9.2,0.39,0.24,2,0.084,19,122,0.9988,3.31,0.54,9.6,5
426,11.2,0.43,0.53,2.2,0.071,7,14,0.99975,3.15,0.82,10.4,6
427,6.1,0.4,0,1.9,0.062,9,17,0.99672,3.56,0.56,10.5,5
428,8.7,0.63,0.14,2.4,0.087,27,62,0.99672,3.14,0.66,10.9,6
429,7.6,0.735,0.21,1.9,0.097,30,129,0.9962,3.1,0.49,9.6,6
430,8.1,0.885,0,1.5,0.05,5,13,0.99605,3.39,0.68,11.9,6
431,7.7,0.78,0.08,1.8,0.068,16,37,0.9969,3.42,0.68,9.6,5
432,7,0.41,0.51,1.7,0.077,25,42,0.99578,3.35,0.76,10,7
433,7.5,0.38,0.21,1.7,0.086,29,45,0.99587,3.28,0.55,9.2,6
434,9.3,0.47,0.53,2.2,0.063,25,47,0.99523,3.33,0.83,12.7,7
435,8.3,0.43,0.31,2.6,0.086,24,66,0.9963,3.47,0.62,9.7,5
436,10,0.31,0.63,2.5,0.08,5,12,0.99842,3.31,0.66,9.7,6
437,7.6,0.47,0.32,2.2,0.073,19,98,0.9984,3.08,0.65,9.8,6
438,6.8,0.6,0.08,2.1,0.08,12,18,0.99358,3.44,0.52,12.8,7
439,8.4,0.74,0.07,1.6,0.058,14,47,0.99488,3.17,0.45,11,5
440,9.9,0.57,0.24,2.8,0.094,14,56,0.998,3.28,0.7,9,6
441,12.8,0.41,0.48,2.2,0.132,10,41,0.9997,3.17,0.64,12.6,8
442,9.8,0.48,0.54,1.8,0.11,23,43,0.9984,3.02,0.62,10.8,6
443,7.6,0.62,0.23,2,0.082,19,102,0.9964,3.22,0.55,9.2,5
444,5.6,0.48,0.28,2.1,0.099,28,51,0.99256,3.38,0.77,11.9,6
445,8.9,0.28,0.34,6.55,0.056,12,19,0.99536,3.21,0.78,12.3,7
446,8,0.69,0.19,2.5,0.114,34,106,0.9959,3.39,0.57,9.8,5
447,11.9,0.69,0.76,3.3,0.077,6,47,1.0004,3.16,0.61,9,5
448,8,0.875,0.11,2.6,0.082,18,44,0.9956,3.2,0.48,10.8,5
449,10.6,0.24,0.43,1.8,0.066,8,26,0.9976,3.07,0.6,10,6
450,6.4,0.7,0,2.6,0.123,11,24,0.99642,3.53,0.53,11.6,5
451,8,0.58,0.22,2.1,0.093,38,76,0.99584,3.3,0.55,10.9,6
452,7.1,0.84,0.21,1.8,0.059,25,48,0.99714,3.53,0.55,9.9,7
453,7.6,0.58,0.14,2.1,0.092,25,99,0.99622,3.31,0.53,9.8,5
454,7.9,0.52,0.49,1.9,0.084,17,106,0.9959,3.2,0.59,9.8,5
455,7.1,0.61,0.18,2.7,0.104,11,81,0.99736,3.52,0.72,9.7,5
456,7.4,0.42,0.49,1.9,0.077,34,124,0.9964,3.32,0.71,11.9,8
457,9.2,0.635,0.49,2.3,0.084,13,49,1.001,3.31,0.73,9.8,5
458,11.9,0.41,0.56,1.5,0.111,23,49,0.9981,3.11,0.75,9.5,6
459,10.9,0.4,0.5,2.3,0.08,7,25,0.9991,3.02,1.11,9.6,5
460,10.4,0.615,0.63,6.8,0.075,17,86,1.00242,3.09,0.66,9.5,5
461,8.4,0.57,0.04,3,0.097,6,12,0.9974,3.13,0.56,10,6
462,7.4,0.66,0.32,3.1,0.082,11,65,0.99744,3.16,0.64,12.8,7
463,6,0.69,0,1.9,0.057,15,32,0.99516,3.53,0.6,11.3,6
464,8,0.69,0.27,4,0.063,7,31,0.9976,3.37,0.54,9.5,5
465,11.9,0.58,0.49,2.6,0.222,6,15,0.9991,3.16,0.61,10.5,6
466,7.1,0.85,0,1.3,0.08,5,14,0.99692,3.45,0.48,9.5,5
467,8.3,0.38,0.21,2.5,0.097,23,94,0.99694,3.2,0.48,9.3,6
468,7.3,0.31,0.3,1.8,0.082,27,85,0.99688,3.35,0.54,9.5,6
469,10,0.31,0.56,2.4,0.079,9,31,0.9994,3.17,0.56,10.9,7
470,6.7,0.655,0.15,2,0.041,13,29,0.99936,3.42,0.69,12.2,6
471,9.7,0.49,0.21,2.1,0.078,27,61,0.99786,3.3,0.57,9.4,5
472,7.8,0.64,0.17,2.8,0.062,21,75,0.99824,3.28,0.61,10.2,5
473,7.8,0.55,0.31,2.6,0.084,35,103,0.9971,3.07,0.62,9.2,5
474,7,0.5,0,1.4,0.08,16,33,0.99682,3.31,0.47,10.9,5
475,6.9,0.45,0.19,2,0.111,18,48,0.99576,3.5,0.76,11,7
476,7.2,0.77,0.03,2.5,0.089,36,45,0.99628,3.52,0.6,10.5,6
477,7,0.685,0,2.4,0.078,25,52,0.99728,3.5,0.72,9.8,6
478,10.9,0.24,0.34,3,0.086,8,23,0.9991,3.2,0.62,9.3,5
479,7.9,0.53,0.04,2.4,0.078,20,49,0.9964,3.4,0.68,9.7,6
480,6.9,0.65,0.02,1.8,0.09,38,38,0.99498,3.32,0.55,10.1,7
481,7.8,0.6,0.01,2.7,0.072,36,48,0.99538,3.32,0.56,10.8,7
482,15,0.635,0.49,3.2,0.083,21,84,1.0021,2.98,0.68,12,5
483,12.6,0.41,0.53,2.95,0.085,7,31,0.9976,3.05,0.82,10.3,6
484,11.5,0.41,0.65,2.3,0.07,5,19,0.99572,3.24,0.66,11.2,6
485,9.9,0.41,0.28,2.8,0.107,23,143,0.99828,3.28,0.55,9.5,5
486,11.5,0.26,0.53,3.2,0.093,6,23,0.9986,3.15,0.79,11,6
487,8.1,0.51,0,2.3,0.07,12,19,0.99444,3.31,0.76,12.4,6
488,10.6,0.63,0.41,2.8,0.107,20,67,0.99786,3.16,0.66,10.8,5
489,8.4,0.56,0.22,2.5,0.082,23,143,0.9988,3.18,0.52,9.6,5
490,12.3,0.41,0.64,2.6,0.091,6,20,0.9994,3.2,0.66,10.8,6
491,7.1,0.62,0.01,2.5,0.078,24,94,0.99743,3.52,0.63,9.3,6
492,8.2,0.52,0.34,2.6,0.092,16,112,0.9974,3.08,0.64,9.4,5
493,9.4,0.88,0,3,0.076,6,28,0.9988,3.3,0.48,9.6,5
494,7.2,0.41,0.3,2,0.072,34,66,0.997,3.41,0.64,9.9,5
495,10,0.37,0.31,2.8,0.118,14,44,0.9976,2.98,0.56,9.4,5
496,7.5,0.58,0.01,1.8,0.077,27,90,0.99609,3.32,0.52,9.4,4
497,9.9,0.84,0.06,2.6,0.077,9,28,0.9982,3.31,0.48,9.6,5
498,8.7,0.41,0.24,2.1,0.061,7,12,0.99444,3.38,0.69,12.5,7
499,6.8,0.64,0,1.5,0.062,27,53,0.9959,3.38,0.59,10.9,6
500,6.8,0.705,0,2.4,0.081,17,43,0.9968,3.7,0.83,10.1,6
501,6.7,0.68,0,1.6,0.052,7,11,0.99538,3.45,0.46,9.8,5
502,8.9,0.49,0.39,1.8,0.078,34,61,0.99652,3.32,0.78,10.8,7
503,7.8,0.56,0.19,1.7,0.111,6,15,0.99668,3.19,0.53,10.1,6
504,5.6,0.66,0.01,1.9,0.117,12,20,0.99784,3.72,0.74,9.6,5
505,7.7,0.6,0.26,2,0.08,31,73,0.9987,3.37,0.52,9.3,5
506,7.9,0.31,0.51,1.7,0.079,31,35,0.99519,3.32,0.91,11.6,6
507,8.4,0.46,0.44,2.1,0.118,3,13,0.9979,3.22,0.72,9.2,5
508,8.7,0.5,0.3,2.6,0.08,13,49,0.9965,3.3,1.18,10.2,6
509,7.8,0.865,0.1,4.5,0.087,13,57,0.99631,3.34,0.59,9.5,5
510,7.9,0.685,0.01,1.8,0.104,20,57,0.9963,3.28,0.55,9.7,5
511,10.6,0.5,0.34,4,0.073,6,22,0.9988,3.33,0.83,9.9,6
512,7.2,0.62,0.01,1.4,0.072,15,39,0.99566,3.32,0.63,10.8,6
513,7.6,0.66,0,3,0.065,14,24,0.99242,3.47,0.71,11.5,7
514,8.5,0.53,0.09,4.3,0.094,10,24,0.9976,3.33,0.82,12,7
515,8.3,0.6,0.1,2.3,0.089,17,38,0.99803,3.26,0.54,9,5
516,6.7,0.55,0.15,2.3,0.077,33,98,0.99488,3.28,0.56,10.8,5
517,12.5,0.4,0.63,2.3,0.071,6,24,0.9986,3.1,0.83,10.8,6
518,6,0.35,0.19,1.8,0.069,16,38,0.99458,3.58,0.68,11.4,7
519,7.2,0.34,0.44,2.4,0.063,17,86,0.99459,3.42,0.58,11.5,6
520,7.2,0.62,0.06,2.5,0.078,24,94,0.99746,3.52,0.71,10.5,6
521,8.3,0.56,0.22,2.2,0.073,9,36,0.99476,3.1,0.56,11,6
522,9,0.61,0.24,2.5,0.084,41,110,0.9976,3.07,0.56,9.4,5
523,13,0.27,0.41,2.2,0.083,6,16,1.0002,3.08,0.69,10.8,6
524,9.8,0.66,0.36,1.7,0.084,24,44,0.99652,3.22,0.72,11.1,6
525,9,0.54,0.59,1.9,0.074,9,20,0.9978,3.3,0.61,9.4,5
526,12.3,0.39,0.49,2.8,0.091,7,20,1.0014,3.12,0.49,9.4,5
527,8.4,0.735,0.22,3,0.106,16,119,0.9964,3.26,0.55,9.2,5
528,8.9,0.28,0.35,1.9,0.048,32,44,0.99182,3.25,0.62,12.5,6
529,9.3,0.61,0,2.1,0.079,23,119,0.99774,3.23,0.5,9.4,5
530,8.7,0.28,0.36,2.8,0.067,26,52,0.99516,3.15,0.62,11.8,6
531,6.5,0.69,0,1.9,0.068,15,29,0.99498,3.45,0.66,9.5,6
532,5.9,0.655,0.04,2,0.071,27,65,0.9958,3.72,0.52,12.9,6
533,9.3,0.39,0.4,2.2,0.081,41,55,0.99498,3.19,0.75,11.8,6
534,7.4,0.43,0.32,5.1,0.063,3,15,0.9963,3.34,0.67,10,6
535,7.6,0.18,0.34,2.1,0.062,31,92,0.9955,3.26,0.62,10.1,4
536,11.1,0.39,0.51,5.2,0.093,6,12,0.99652,3.3,0.75,11.4,7
537,8.3,0.46,0.31,2.6,0.08,21,84,0.9981,3.48,0.63,9.5,6
538,8.3,0.5,0.49,2,0.132,13,65,0.99688,3.29,0.73,10.5,5
539,6.9,0.57,0.02,2.1,0.123,10,31,0.99599,3.53,0.6,10.9,6
540,8.6,0.655,0.04,3,0.087,14,36,0.9976,3.34,0.55,9.4,5
541,6.4,0.655,0.07,1.7,0.054,12,18,0.99467,3.16,0.67,12.8,6
542,7.9,0.58,0.2,1.4,0.054,6,25,0.99609,3.2,0.57,11,7
543,9.6,0.54,0.31,2.3,0.097,16,72,0.99745,3.31,0.79,9.6,7
544,7.5,0.58,0.13,1.9,0.041,16,59,0.9957,3.27,0.58,9.7,5
545,7.7,0.26,0.4,2,0.082,19,66,0.99476,3.1,0.62,9.8,6
546,7.7,0.54,0.26,1.9,0.097,21,127,0.9976,3.26,0.64,9.4,5
547,10.4,0.29,0.49,2,0.104,10,21,0.9976,3.16,1.95,11,7
548,7.3,0.6,0.25,1.9,0.118,20,84,0.99616,3.28,0.52,9.9,5
549,7.1,0.78,0.07,2.1,0.074,27,60,0.9956,3.4,0.55,10.2,5
550,9.1,0.33,0.45,2,0.066,15,24,0.99586,3.17,0.84,10.5,7
551,7.8,0.88,0.03,2.1,0.072,5,16,0.9967,3.52,0.58,10.7,6
552,10.8,0.28,0.48,2.1,0.093,6,19,0.99408,3.32,0.58,12.8,7
553,8.1,0.51,0.14,1.8,0.115,10,21,0.99572,3.37,0.73,9.3,7
554,7.5,0.52,0.12,2.3,0.132,29,44,0.99536,3.36,0.52,11.2,6
555,11.1,0.38,0.52,2.4,0.07,7,38,0.99672,3.25,0.85,11,8
556,8.2,0.48,0.32,3.4,0.079,23,113,0.99712,3.28,0.66,11,8
557,10,0.36,0.53,2.5,0.077,21,51,0.9934,3.17,0.85,12,7
558,7.7,0.7,0,1.9,0.102,8,16,0.9968,3.44,0.67,9.4,6
559,7.8,0.61,0.21,2.6,0.079,31,64,0.99712,3.13,0.56,9.8,5
560,9.6,0.27,0.53,2.3,0.091,23,58,0.998,3.16,0.78,10.1,7
561,6.8,0.735,0,2.1,0.084,31,53,0.9966,3.52,0.54,9.4,5
562,9.1,0.45,0.43,2.3,0.082,24,64,0.9987,3.15,0.68,9.3,6
563,11.9,0.685,0.49,2.6,0.085,5,19,0.9982,3.02,0.49,10.1,6
564,10.4,0.48,0.68,3.1,0.107,8,22,0.9971,3.09,1.03,12.3,6
565,8.9,0.24,0.37,1.5,0.071,11,24,0.9948,3.39,0.6,12.3,7
566,7.9,0.31,0.33,1.9,0.058,17,91,0.99472,3.31,0.4,9.5,6
567,8.9,0.45,0.45,3,0.095,6,16,0.9988,3.36,0.65,11.7,6
568,8.8,0.63,0.17,2.6,0.084,26,61,0.997,3.31,0.54,9.8,5
569,6.6,0.63,0.31,2.4,0.075,25,44,0.99636,3.55,0.74,9.8,4
570,6.6,0.62,0.03,4,0.076,4,11,0.99494,3.36,0.56,11.4,8
571,6.4,0.56,0.28,2.1,0.077,7,16,0.99459,3.42,0.71,11.7,6
572,8.8,0.76,0.31,2.9,0.088,17,119,0.9982,3.31,0.62,9.5,6
573,12.5,0.45,0.49,2.6,0.095,14,28,0.9994,3.1,0.63,10.8,5
574,11.9,0.31,0.49,3.2,0.072,5,19,0.9986,3.08,0.62,10.6,6
575,7,0.915,0.2,2.8,0.083,11,50,0.996,3.53,0.57,9.8,6
576,6.9,0.56,0.01,2.7,0.078,26,31,0.99855,3.57,0.54,10.7,6
577,8.7,0.59,0.49,2.7,0.088,12,88,1.001,3.21,0.61,9.2,5
578,7.6,0.34,0.34,2.5,0.082,15,26,0.99356,3.22,0.62,12.8,7
579,8.9,0.725,0.24,2.3,0.101,11,104,0.9998,3.2,0.53,9.4,5
580,8.3,0.38,0.3,1.2,0.104,38,76,0.99735,3,0.73,9.2,6
581,8.9,0.48,0.32,1.9,0.132,28,128,0.99676,3.3,0.48,9.5,5
582,6.6,0.36,0.02,1.4,0.064,11,18,0.9952,3.55,0.58,10.8,5
583,6.5,0.61,0.15,1.9,0.065,17,89,0.9952,3.36,0.53,11,5
584,10.7,0.41,0.53,2.4,0.095,26,45,0.99622,3.26,0.58,11.6,6
585,11.6,0.3,0.53,2.3,0.086,9,23,0.9986,3.23,0.92,9.8,6
586,7,0.64,0.26,2.1,0.075,16,69,0.99633,3.1,0.58,9.8,5
587,7.5,0.49,0.19,2.9,0.08,21,110,0.99692,3.29,0.58,10.5,5
588,7.8,0.51,0.18,2.7,0.103,7,28,0.99633,3.25,0.53,9.3,5
589,7.3,0.58,0.11,2.1,0.068,27,43,0.99562,3.44,0.5,10,5
590,7.4,0.36,0.26,2.1,0.074,25,36,0.99419,3.36,0.46,11.5,6
591,7.1,0.78,0,2.3,0.066,18,28,0.99704,3.44,0.58,9.9,5
592,9.4,0.39,0.49,2,0.082,28,109,0.9988,3.12,0.75,9.9,6
593,6.4,0.4,0.2,7.5,0.052,16,46,0.99585,3.42,0.81,9.9,6
594,12.5,0.47,0.63,2.1,0.093,9,25,0.99818,3.07,0.63,10.9,6
595,7.9,0.47,0.4,1.8,0.076,25,60,0.9971,3.12,0.65,9.9,6
596,7.8,0.58,0.28,2.5,0.086,25,99,0.9968,3.28,0.8,10.5,7
597,8.6,0.37,0.25,2.8,0.169,6,17,0.99718,3.14,0.65,9.7,6
598,7.9,0.63,0.05,1.7,0.054,5,16,0.9946,3.3,0.47,9.3,5
599,9.3,0.35,0.31,2.5,0.079,31,67,0.99708,3.28,0.55,11.2,4
600,13.3,0.59,0.66,6.2,0.214,23,43,1.00369,3.05,0.74,9.4,5
601,7.2,0.38,0.32,2.8,0.063,21,51,0.99508,3.34,0.74,10.5,7
602,12,0.38,0.49,2.5,0.074,12,47,1.0004,3.2,0.61,12.1,6
603,8.4,0.23,0.24,2.2,0.078,6,23,0.9967,3.33,0.87,9.5,6
604,13.9,0.49,0.63,3.8,0.077,5,35,1.0014,3.05,0.68,11.3,6
605,6.7,0.53,0.06,2.1,0.081,27,43,0.9958,3.4,0.86,10.4,7
606,11.7,0.44,0.49,3.2,0.078,12,60,0.9986,3.18,0.6,9.5,6
607,7.2,0.6,0.07,3.7,0.077,5,10,0.99702,3.28,0.58,11,5
608,7.5,0.36,0.25,1.5,0.079,16,36,0.99564,3.3,0.44,10.1,6
609,10.8,0.51,0.49,4.5,0.114,9,23,1.0002,3.26,1.09,9.6,5
610,10.3,0.32,0.49,2.9,0.062,6,15,0.9994,3.33,0.46,11.5,5
611,13,0.35,0.49,5.8,0.085,7,35,1.0021,3.3,0.63,12.7,7
612,9.1,0.35,0.37,2.1,0.073,25,58,0.9986,3.24,0.53,10.2,6
613,8,0.74,0.22,2,0.068,4,11,0.99007,3.3,0.52,12,5
614,7.3,0.39,0.3,1.9,0.08,36,51,0.9976,3.39,0.48,9.5,6
615,8.4,0.24,0.24,2.1,0.078,17,43,0.99823,3.37,0.87,10.3,6
616,11.9,0.53,0.66,2.8,0.123,5,19,0.9994,3.15,0.63,11.3,6
617,8.9,0.37,0.45,2.2,0.09,25,52,0.99702,3.38,0.79,11.4,6
618,11.3,0.32,0.52,2.5,0.07,19,50,0.9983,3.32,0.77,10.5,6
619,8.9,0.4,0.29,1.5,0.109,9,28,0.9965,3.19,1.17,9.6,5
620,7.9,0.725,0.05,1.8,0.071,35,103,0.9969,3.28,0.55,9.5,5
621,8.7,0.745,0.22,2,0.084,17,104,0.9983,3.26,0.55,9.3,5
622,7.4,0.49,0.26,1.7,0.071,34,88,0.9972,3.35,0.6,9.5,5
623,7.6,0.49,0.26,2.5,0.094,16,86,0.9976,3.32,0.64,9.2,5
